latitude,longitude,
23.56423802,87.28315256,
23.56382099,87.28383986,
23.55936875,87.28475107,
23.55552964,87.28552021,
23.5550902,87.28572558,
23.55402417,87.28636499,
23.55117144,87.28601922,
23.55009264,87.28513896,
23.55593193,87.2861964,
23.54662631,87.28236134,
23.5417832,87.28994764,
23.54822871,87.28372674,
23.53753981,87.29676204,
23.54370521,87.28777628,
23.53922232,87.2932137,
23.54748714,87.28305944,
23.53905641,87.29462086,
23.54782377,87.28341421,
23.54532179,87.28132318,
23.53569126,87.29757934,
23.52647691,87.31132836,
23.53563571,87.29647157,
23.53551371,87.29872115,
23.53587102,87.29589268,
23.53564262,87.29749198,
23.52825811,87.31128097,
23.54376789,87.2844047,
23.52751395,87.31113717,
23.53616565,87.29562904,
23.52621814,87.31120906,
23.5119433,87.31059245,
23.53454595,87.29790361,
23.51103599,87.31069521,
23.51936196,87.31131757,
23.50030229,87.30600006,
23.50365138,87.30777751,
23.49647226,87.31362626,
