latitude,longitude
23.54632098,87.29274926
23.54414939,87.28816169
23.55162408,87.28624965
23.50169647,87.30654425
23.50331639,87.30744207
23.50006375,87.30633040000002
23.54478267,87.28214899
23.5519599,87.28658058
23.53908771,87.29340433
23.5434576,87.28765337
23.49324049,87.31634178
23.55065035,87.28558198
23.55332858,87.28671195
23.49406427,87.31703645
23.53697946,87.30160088
23.52664362,87.3110425
23.54502456,87.2817408
23.51229922,87.31065278
23.53540681,87.29698787
23.4966197,87.31336337
23.49495876,87.31680733
23.53591382,87.29596671
23.53693073,87.30161794
23.53305649,87.30039832
23.49998292,87.30627899
23.55562685,87.28543989
23.53909037,87.29332503
23.53540617,87.2969322
23.49420881,87.31716356
23.53546103,87.29718483
23.54407128,87.28802717
23.53919752,87.29368569
23.53798632,87.29645718
23.49427777,87.31721879999998
23.5368905,87.30138797
23.5434576,87.28765337
23.52744359,87.31079936
23.53697712,87.30163314
23.55932345,87.28478859
23.54293063,87.28614973
23.54932658,87.28452454
23.54335995,87.28758991
23.55331551,87.28672909
23.49420881,87.31716356
23.53510223,87.29806061
23.54200555,87.28970809999998
23.54409832,87.28801293
23.53909037,87.29332503
23.53573144,87.29614364
23.54263715,87.28693444
23.55932345,87.28478859
23.53570551,87.29628553
23.54478208,87.28222062
23.53589911,87.29589371
